EQ (mo/day/yr),MV,Magnitude,Dist (km),Comment
4-Mar-77,"Beciu, Romania",7.4,92,Mellors et al. (2007)
26-Dec-04,"Baratang, Andaman Islands",9.1,1030,"Manga and Brodsky (2006), distance updated in Bonini et al. (2016)"
10-Dec-03,"Luoshang, Taiwan",6.8,10,Bonini et al. (2016)
10-Dec-03,"Leikunghuo, Taiwan",6.8,18,Bonini et al. (2016)
24-Sep-13,"Makran Coast, Pakistan",7.7,383,"Bonini et al. (2016), PGV from shakemap"
20-May-12,"Torre, Italy",6.1,77,Bonini et al. (2016)
5/20/12,"Regnano, Italy",6.1,63,Bonini et al. (2016)
5/29/12,"Regnano, Italy",5.9,52,Bonini et al. (2016)
5/20/12,"Casola-Querzola, Italy",6.1,63,Bonini et al. (2016)
5/29/12,"Casola-Querzola, Italy",5.9,52,Bonini et al. (2016)
5/20/12,"Nirano, Italy",6.1,52,Bonini et al. (2016)
5/20/12,"Puianello, Italy",6.1,55,Bonini et al. (2016)
5/29/12,"Ospitaletto, Italy",5.9,49,Bonini et al. (2016)
3/4/52,Niikappu,8.6,58,Chigira and Tanaka (1997) with PGV from Manga et al. (2009)
5/16/68,Niikappu,8.2,186,Chigira and Tanaka (1997) with PGV from Manga et al. (2009)
3/21/82,Niikappu,6.7,25,Chigira and Tanaka (1997) with PGV from Manga et al. (2009)
1/15/93,Niikappu,7.6,153,Chigira and Tanaka (1997) with PGV from Manga et al. (2009)
12/28/94,Niikappu,7.8,226,Chigira and Tanaka (1997) with PGV from Manga et al. (2009)
9/25/03,Niikappu,8.3,145,Manga and Brodsky (2006) with PGV from Manga et al. (2009)
91 BC,"Nirano, Italy",5.7,15,Bonini (2009)
91 BC,Montegibbio,5.7,14.5,Bonini (2009)
5-Apr-1781,Montegibbio,5.94,87,Bonini (2009)
5/16/1873,Montegibbio,5.09,12,Bonini et al. (2016)
2/27/15,South Semau,7,340,Documented in email from Mark Tingay
1/28/1872,"Kalamaddyn, AZ",5.7,24,Mellors et al. (2007)
1/28/1872,"Shikhzairli, AZ",5.7,40,Mellors et al. (2007)
2/13/02,"Shikhzairli, AZ",6.9,45,Mellors et al. (2007)
2/13/02,"Bozakhtarma, AZ",6.9,51,Mellors et al. (2007)
11/28/45,"Ormara, Makran",8.1,41,Delisle (2005)
11/28/45,"Hingol, Makran",8.1,189,Delisle (2005)
11/28/45,"Gwadar, Makran",8.1,155,Delisle (2005)
5/30/35,"Thok, Baluchistan",7.7,61,Snead (1964)
7/8/1895,"Livanoca, South Caspaun",8.2,141,Mellors et al. (2007)
9/24/1848,"Marazy, AZ",4.6,15,Mellors et al. (2007)
4-Dec-57,"Gobi Altay, Mongolia",8.3,75,Rukavickova and Hanzl (2008)
15-Jun-06,"Gobi Altay, Mongolia",5.8,90,Rukavickova and Hanzl (2008)
26-Jan-01,"Kandewari, Pakistan",7.7,482,Manga et al. (2009)
11-Oct-15,"Regnano, Italy",5,21,Martinelli et al. (1989)
4-Sept-1895,"Portico di Romagna, Italy",5,4.1,Bonini (2009)
13-Dec-90,"Paterno, Italy",5.7,39,Bonini (2009)
4-Oct-78,"Paterno, Italy",5.2,34,Bonini (2009)
5-Mar-1828,"Caltanizetta, Italy",5.9,56,Bonini (2009)
5-Sep-04,"Kumano Knoll #5, Japan",7.4,80,Tsunogai et al. (2012)
